               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11338,            0.016233,                   0,           0.0024064,            0.099788,           0.0011671,          0.00024646,            0.097041,            0.013939,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.093009,            0.018119,                   0,             0.34178,             0.15214,             0.15478,            0.041151,             0.08854,            0.011467,                   0,            0.050489,           0.0054891,           0.0054891
                   2,            0.082374,            0.015754,                   0,             0.66715,             0.10403,             0.26709,             0.07308,            0.071875,            0.011633,                   0,            0.025267,           0.0082671,           0.0082671
                   3,            0.073622,            0.016419,                   0,             0.56451,             0.38854,             0.37498,             0.10236,            0.066866,            0.010884,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.065269,            0.016076,                   0,             0.72746,              0.4862,             0.58277,             0.23384,            0.054873,            0.011722,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.053628,            0.016331,                   0,             0.65796,             0.51168,             0.59451,               0.207,            0.060094,           0.0099533,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.051523,             0.01486,                   0,             0.71944,             0.68365,             0.72658,             0.33609,            0.046352,           0.0091723,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.047523,            0.013124,                   0,             0.78331,             0.71125,             0.78607,             0.34905,            0.041138,           0.0086833,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,             0.04637,            0.011329,                   0,             0.83388,             0.76733,             0.82685,             0.36044,            0.040066,           0.0076117,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.046779,            0.010748,                   0,             0.88169,             0.79114,             0.85555,             0.45727,            0.037265,           0.0069478,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.043151,            0.010662,                   0,             0.88903,             0.83345,             0.89689,             0.45568,            0.038797,           0.0063257,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.043074,           0.0091494,                   0,             0.86193,             0.84926,             0.91155,             0.47422,            0.035677,           0.0060475,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.041968,           0.0091002,                   0,             0.85729,             0.85455,             0.92423,             0.50637,            0.035345,           0.0058538,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.039504,           0.0090944,                   0,             0.88079,              0.8811,             0.93239,             0.51198,            0.033837,           0.0056437,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.037974,           0.0086707,                   0,             0.87196,             0.89809,             0.92517,             0.48725,            0.034788,           0.0054315,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,             0.03719,           0.0081335,                   0,             0.86691,             0.92781,             0.94035,             0.53975,            0.030536,           0.0051452,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.037354,           0.0081606,                   0,             0.89551,             0.92803,             0.94644,             0.55541,            0.031099,           0.0051283,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.037119,           0.0085613,                   0,              0.9327,             0.91216,             0.95843,             0.55425,            0.030811,           0.0049893,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.035536,           0.0078665,                   0,             0.92846,              0.9172,             0.95298,             0.54806,            0.030661,           0.0048968,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.036213,           0.0079467,                   0,             0.93159,             0.92781,             0.95492,              0.5239,            0.030705,           0.0048483,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.034753,           0.0079064,                   0,             0.92973,             0.93206,             0.96087,              0.5491,            0.030464,            0.004848,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.033172,            0.007571,                   0,             0.94213,             0.91507,             0.96504,             0.59919,            0.028558,           0.0047419,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.034581,           0.0076638,                   0,             0.95577,             0.92569,             0.97253,              0.5996,             0.02884,           0.0046829,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.034338,           0.0078101,                   0,             0.92501,             0.93843,             0.95984,             0.54552,            0.030395,           0.0046984,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.034143,           0.0074887,                   0,             0.92571,             0.94692,             0.96212,             0.58218,            0.028656,           0.0046928,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.033734,           0.0075008,                   0,             0.93679,             0.94395,             0.95914,             0.53846,            0.030668,           0.0047239,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.033659,           0.0071871,                   0,             0.92395,              0.9448,             0.95729,             0.55181,            0.031743,           0.0047438,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.032458,           0.0074464,                   0,             0.94901,             0.94829,             0.97105,             0.58053,             0.02862,           0.0046325,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.033121,           0.0070721,                   0,             0.93281,             0.95966,             0.96766,             0.59185,            0.028284,           0.0045206,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.033022,           0.0070982,                   0,             0.93815,             0.96616,             0.96886,             0.58489,            0.028557,           0.0043881,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.032406,            0.007132,                   0,             0.93712,             0.95541,             0.96574,             0.58444,            0.027965,            0.004407,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.031275,           0.0072394,                   0,             0.94951,             0.95827,             0.97482,             0.59947,            0.027685,           0.0044212,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.031748,           0.0075581,                   0,             0.94793,             0.96391,             0.95842,             0.57379,            0.026911,           0.0045355,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.031473,           0.0074119,                   0,             0.94989,             0.96588,             0.97621,             0.59526,            0.026688,            0.004339,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.031031,           0.0071347,                   0,             0.93393,             0.97028,             0.97589,             0.61797,            0.026777,            0.004266,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.031004,           0.0070861,                   0,             0.92379,             0.97877,              0.9733,             0.60265,            0.026192,            0.004293,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.031904,           0.0066586,                   0,             0.95042,             0.97679,               0.983,             0.61946,            0.025792,           0.0043185,                   0,            0.009307,            0.009307,            0.009307
                  37,             0.03098,           0.0066521,                   0,             0.95847,             0.98514,             0.97521,             0.60922,            0.025685,           0.0043474,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030702,           0.0071253,                   0,             0.93874,             0.97609,             0.97245,             0.60035,            0.026019,           0.0042533,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,             0.02879,           0.0064961,                   0,             0.93892,             0.97877,             0.97644,             0.63012,            0.025697,           0.0041266,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.029951,           0.0067858,                   0,             0.93906,             0.98147,             0.98253,             0.63906,             0.02496,           0.0041183,                   0,           0.0092278,           0.0092278,           0.0092278
